rec_num,given_name,family_name,gender,dob,national_id,clinical_data
rec-0000000001-00,Girma,Kamau,male,1987-02-14,,MA2:198702145001118
rec-0000000002-00,Measa,Cherop,female,1979-10-14,,FA1:197910145001067
rec-0000000002-01,Meaza,Cherop,female,1979-10-14,197910145001067,FA5:197910145001067
rec-0000000002-02,Meaja,Cerop,female,1979-10-14,,FA5:197910145001067
rec-0000000002-03,Measa,Cerop,female,1979-10-14,,FA3:197910145001067
rec-0000000002-04,Meaza,Cerop,female,1979-10-14,,FA2:197910145001067
rec-0000000002-05,Meaza,Cherop,female,1979-10-14,,FA4:197910145001067
rec-0000000003-00,Felekech,Chepchuma,female,1956-10-06,,FS2:195610065001083
rec-0000000004-00,Zewude,Mendwa,male,1998-05-04,,MY1:199805045001144
rec-0000000004-01,Zewud,Mwendwa,male,1998-05-04,199805045001144,MY2:199805045001144
rec-0000000004-02,Zewude,Mwendwa,male,1998-05-04,,MY1:199805045001144
rec-0000000004-03,Zeude,Mwentwa,male,1998-05-04,,MY2:199805045001144
rec-0000000004-04,Zewude,Mwendwa,male,1998-05-04,,MY1:199805045001144
rec-0000000004-05,Zewude,Mwendwa,male,1998-05-04,199805045001144,MY1:199805045001144
rec-0000000004-06,Zewute,Mendwa,male,1998-05-04,,MY2:199805045001144
rec-0000000004-07,Zewude,Mwentwa,male,1998-05-04,,MY1:199805045001144
rec-0000000004-08,Zeude,Mendwa,male,1998-05-04,,MY1:199805045001144
rec-0000000005-00,Hiru,Chepkoech,male,1995-08-12,,MA2:199508125001143
rec-0000000005-01,Heiru,Chepkoech,male,1995-08-12,199508125001143,MA4:199508125001143
rec-0000000005-02,Heiru,Chepkoekh,male,1995-08-12,,MA4:199508125001143
rec-0000000005-03,Heiru,Chepckoech,male,1995-08-12,,MA2:199508125001143
rec-0000000005-04,Heiru,Chepkoech,male,1995-08-12,,MA2:199508125001143
rec-0000000005-05,Hiru,Chepkoech,male,1995-08-12,,MA5:199508125001143
